display_name,search_name,mailing_address,city,state,zip,feid_number,feid_suffix,elt_customer_number,phone,email,payoff_website,lien_release_notes,elt_notes,search_aliases,last_verified_date,internal_notes,source
COMMUNITY BANKING COMPANY OF FITZGERALD,COMMUNITY BANKING OF FITZGERALD,PO BOX 130,FITZGERALD,GA,31750,582216814,1,235627057,,,,,,,,,Florida ELT / Lienholder Source List
"COMMUNITY CAR AGENCY, LLC",COMMUNITY CAR AGENCY,1712 NW COUNTY ROAD 251,MAYO,FL,32066,842439908,2,261622713,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY CHOICE CREDIT UNION,COMMUNITY CHOICE CREDIT UNION,P.O. BOX 715,DES MOINES,IA,50303,420778245,1,233582593,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY CHOICE CREDIT UNION,COMMUNITY CHOICE CREDIT UNION,31155 NORTHWESTERN HWY,FARMINGTON HILLS,MI,48334,380960035,3,255647355,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY CHOICE CREDIT UNION,COMMUNITY CHOICE CREDIT UNION,31155 NORTHWESTERN HWY,FARMINGTON HILLS,MI,48334,380960035,2,245274289,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY CREDIT CORP,COMMUNITY CREDIT,4433 10TH AVE N,LAKE WORTH,FL,33461,650377829,2,215773506,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY CREDIT UNION,COMMUNITY CREDIT UNION,144 PINE ST,LEWISTON,ME,4240,10206603,2,240273167,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY CREDIT UNION,COMMUNITY CREDIT UNION,20 1ST ST N,NEW ROCKFORD,ND,58356,450237883,1,613162105,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY CREDIT UNION OF FLORIDA,COMMUNITY CREDIT UNION OF FLORIDA,1030 SOUTH US 1,ROCKLEDGE,FL,32955,590860768,1,200004097,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY CREDIT UNION OF LYNN,COMMUNITY CREDIT UNION OF LYNN,32 CENTRAL ST,PEABODY,MA,1960,42207787,2,239545803,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY ENTERPRISE INVESTMENTS,COMMUNITY ENTERPRISE INVESTMENTS,302 N BARCELONA ST,PENSACOLA,FL,32501,591586520,2,214777339,,,,,,,,,Florida ELT / Lienholder Source List
"COMMUNITY FINANCE AND LOANS, LLC",COMMUNITY FINANCE AND LOANS,8601 DUNWOODY PL,ATLANTA,GA,30350,263272042,1,234133379,,,,,,,,,Florida ELT / Lienholder Source List
"COMMUNITY FINANCE AND LOANS, LLC",COMMUNITY FINANCE AND LOANS,8601 DUNWOODY PL STE 406,ATLANTA,GA,30350,800254266,2,234133475,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY FINANCIAL CREDIT UNION,COMMUNITY FINANCIAL CREDIT UNION,PO BOX 1387,BROOMFIELD,CO,80038,840484190,3,236308267,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY FINANCIAL CREDIT UNION,COMMUNITY FINANCIAL CREDIT UNION,PO BOX 8050,PLYMOUTH,MI,48170,381447620,1,234521305,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY FINANCIAL SERVICES BANK,COMMUNITY FINANCIAL SERVICES BANK,PO BOX 467,BENTON,KY,42025,610125980,2,235095725,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY FINANCIAL SERVICES FCU,COMMUNITY FINANCIAL SERVICES FCU,149 SAINT GEORGE AVE,ROSELLE,NJ,7203,221546020,2,243520835,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY FIRST BANK,COMMUNITY FIRST BANK,PO BOX 1700,HARRISON,AR,72602,621711471,1,217820544,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY FIRST BANK,COMMUNITY FIRST BANK,PO BOX 5188,KANSAS CITY,KS,66119,480221590,1,246519023,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY FIRST BANK,COMMUNITY FIRST BANK,PO BOX 459,SENECA,SC,29679,570899390,1,204467235,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY FIRST CREDIT UNION,COMMUNITY FIRST CREDIT UNION,PO BOX 6004,SANTA ROSA,CA,95406,941532380,2,247703653,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY FIRST CREDIT UNION,COMMUNITY FIRST CREDIT UNION,PO BOX 1487,APPLETON,WI,54912,396264347,2,233987261,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY FIRST CREDIT UNION OF FLORIDA,COMMUNITY FIRST CREDIT UNION OF FLORIDA,P O BOX 41209,JACKSONVILLE,FL,32203,590227113,11,205635872,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY FIRST FEDERAL CREDIT UNION,COMMUNITY FIRST FEDERAL CREDIT UNION,9637 N GREENVILLE RD,LAKEVIEW,MI,48850,382608161,1,247790081,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY FIRST NATIONAL BANK,COMMUNITY FIRST NATIONAL BANK,215 S SETH CHILD RD,MANHATTAN,KS,66502,481238548,2,235116005,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY FOCUS FEDERAL CREDIT UNION,COMMUNITY FOCUS FEDERAL CREDIT UNION,18925 TELEGRAPH,BROWNTOWN,MI,48174,381655200,1,219917781,,,,,,,,,Florida ELT / Lienholder Source List
"COMMUNITY FUND OF NORTH MIAMI-DADE, INC",COMMUNITY FUND OF NORTH MIAMI DADE,490 OPA LOCKA BLVD,OPA LOCKA,FL,33054,142307383,1,260988897,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY MOTORS LLC,COMMUNITY MOTORS,4037 APALACHEE PKWY # 18,TALLAHASSEE,FL,32311,30400362,2,233679511,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY NATIONAL BANK & TRUST,COMMUNITY NATIONAL BANK TRUST,PO BOX 628,CHANUTE,KS,66720,481038713,1,250585561,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY NEIGHBOR BANK,COMMUNITY NEIGHBOR BANK,PO BOX 518,CAMDEN,AL,36726,630035270,2,249955981,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY ONE CREDIT UNION OF OHIO INC.,COMMUNITY ONE CREDIT UNION OF OHIO,6586 FRANK AVE NW,NORTH CANTON,OH,44720,340130830,2,208033292,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY OVERDRIVE AUTO SALES INC,COMMUNITY OVERDRIVE AUTO SALES,1516 N MAIN ST,GAINESVILLE,FL,32601,811611529,2,249663073,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY POWERED FEDERAL CREDIT UNION,COMMUNITY POWERED FEDERAL CREDIT UNION,1758 PULASKI HWY,BEAR,DE,19701,510100640,2,256976235,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY RESOURCE CREDIT UNION,COMMUNITY RESOURCE CREDIT UNION,PO BOX 3181,BAYTOWN,TX,77522,741109927,1,215623821,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY RESOURCE FEDERAL CREDIT UNION,COMMUNITY RESOURCE FEDERAL CREDIT UNION,20 WADE RD,LATHAM,NY,12110,141339924,1,218869362,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY SAVINGS BANK,COMMUNITY SAVINGS BANK,PO BOX 77,EDGEWOOD,IA,52042,420192370,1,96408455,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY SERVICE CREDIT UNION,COMMUNITY SERVICE CREDIT UNION,P O BOX 479,HUNTSVILLE,TX,77342,741478219,1,96408527,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY SOUTH CREDIT UNION,COMMUNITY SOUTH CREDIT UNION,PO BOX 623,CHIPLEY,FL,32428,590968187,6,216227598,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY SOUTHERN BANK,COMMUNITY SOUTHERN BANK,3340 S FLORIDA AVE,LAKELAND,FL,33803,203871376,1,220493779,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY SPIRIT CREDIT UNION,COMMUNITY SPIRIT CREDIT UNION,160 INDUSTRIAL DR,LAWRENCEBURG,IN,47025,350852399,1,222121493,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY STAR CREDIT UNION,COMMUNITY STAR CREDIT UNION,832 CLEVELAND ST,ELYRIA,OH,44035,340728231,2,619954363,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY STATE BANK,COMMUNITY STATE BANK,PO DRAWER 460,STARKE,FL,32091,590795359,1,200000413,,,,,,,,,Florida ELT / Lienholder Source List
"COMMUNITY TRUST BANK, INC",COMMUNITY TRUST BANK,50 WEDDINGTON BRANCH RD,PIKEVILLE,KY,41501,610309037,2,236668457,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY TRUST CREDIT UNION,COMMUNITY TRUST CREDIT UNION,1313 SKOKIE HIGHWAY,GURNEE,IL,60031,361932435,1,202208445,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY TRUST FEDERAL CREDIT UNION,COMMUNITY TRUST FEDERAL CREDIT UNION,PO BX 1023,APOPKA,FL,32704,592421672,1,200473323,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY UNITED CREDIT UNION,COMMUNITY UNITED CREDIT UNION,10883 PEARL RD STE 203,STRONGSVILLE,OH,44136,341151050,2,245160187,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY UNITED FEDERAL CREDIT UNION,COMMUNITY UNITED FEDERAL CREDIT UNION,PO BOX 703,WAYCROSS,GA,31502,581183988,2,233989047,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITY WEST CREDIT UNION,COMMUNITY WEST CREDIT UNION,PO BOX 8069,KENTWOOD,MI,49518,381844068,2,238964537,,,,,,,,,Florida ELT / Lienholder Source List
"COMMUNITYONE BANK, N. A",COMMUNITYONE BANK N A,PO BOX 1328,ASHEBORO,NC,27204,560223430,1,235406953,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNITYWIDE FEDERAL CREDIT UNION,COMMUNITYWIDE FEDERAL CREDIT UNION,1555 W WESTERN AVE,SOUTH BEND,IN,46619,351361888,1,207631149,,,,,,,,,Florida ELT / Lienholder Source List
COMMUNTIIES OF ABILENE FEDERAL CREDIT UNION,COMMUNTIIES OF ABILENE FEDERAL CREDIT UNION,3661 N 6TH ST,ABILENE,TX,79603,750940724,3,606881685,,,,,,,,,Florida ELT / Lienholder Source List
COMMUTER CARS LLC,COMMUTER CARS,6420 S U S HWY 1,PORT ST LUCIE,FL,34952,262586252,2,233738039,,,,,,,,,Florida ELT / Lienholder Source List
"COMPANY CAR ENTERPRISE, LLC",CAR ENTERPRISE,301 W 7TH ST,ORLANDO,FL,32824,331565504,2,630178173,,,,,,,,,Florida ELT / Lienholder Source List
COMPANY VEHICLE ADMINISTRATION,VEHICLE ADMINISTRATION,700 VAN NESS AVE,TORRANCE,CA,90501,952041006,15,252858281,,,,,,,,,Florida ELT / Lienholder Source List
"COMPASS AUTOMOTIVE GROUP, INC DBA NIRVANA MOTORCARS",COMPASS AUTOMOTIVE GROUP DBA NIRVANA MOTORCARS,2083 N POWERLINE RD,POMPANO BEACH,FL,33069,824956548,2,256896547,,,,,,,,,Florida ELT / Lienholder Source List
COMPASS CREDIT UNION,COMPASS CREDIT UNION,485 S STATE ST,SPARTA,MI,49345,381678297,2,618196907,,,,,,,,,Florida ELT / Lienholder Source List
COMPASS EQUIPMENT FINANCE LLC,COMPASS EQUIPMENT FINANCE,115 55TH ST STE 101,CLARENDON HILLS,IL,60514,262589364,1,251962719,,,,,,,,,Florida ELT / Lienholder Source List
COMPASS FEDERAL CREDIT UNION,COMPASS FEDERAL CREDIT UNION,131 GEORGE ST,OSWEGO,NY,13126,160925413,3,615090911,,,,,,,,,Florida ELT / Lienholder Source List
COMPASS FINANCIAL FEDERAL CREDIT UNION,COMPASS FINANCIAL FEDERAL CREDIT UNION,PO BOX 227880,DORAL,FL,33222,590642951,5,229518197,,,,,,,,,Florida ELT / Lienholder Source List
"COMPEER FINANCIAL, ACA",COMPEER FINANCIAL ACA,381 POLICE MEMORIAL DR,FOND DU LAC,WI,54935,410696305,2,627413993,,,,,,,,,Florida ELT / Lienholder Source List
"COMPEER FINANCIAL, PCA",COMPEER FINANCIAL PCA,381 POLICE MEMORIAL DR,FOND DU LAC,WI,54935,411956284,1,627412363,,,,,,,,,Florida ELT / Lienholder Source List
COMPETITION MOTORS INC,COMPETITION MOTORS,1159 S MILITARY TRL,W PALM BCH,FL,33415,50595233,3,233242623,,,,,,,,,Florida ELT / Lienholder Source List
COMPLETE AUTO BODY AND REPAIR,COMPLETE AUTO BODY AND REPAIR,6041 N LINDBERGH BLVD,HAZELWOOD,MO,63042,431904124,1,618883933,,,,,,,,,Florida ELT / Lienholder Source List
COMPLETE AUTO FINANCE CORP,COMPLETE AUTO FINANCE,3501 NW 27TH AVE,MIAMI,FL,33142,811511198,1,249722883,,,,,,,,,Florida ELT / Lienholder Source List
COMPLETE AUTO SALES LLC,COMPLETE AUTO SALES,980 E HATHAWAY AVE,BRONSON,FL,32621,462956850,2,235954567,,,,,,,,,Florida ELT / Lienholder Source List
"COMPLETE AUTOS, INC",COMPLETE AUTOS,1400 STATE AVE,KANSAS CITY,KS,66102,481155109,1,631973299,,,,,,,,,Florida ELT / Lienholder Source List
"COMPLETE CASH HOLDINGS, LLC",COMPLETE CASH HOLDINGS,3600 S OATES ST STE 7,DOTHAN,AL,36301,582448209,1,230160105,,,,,,,,,Florida ELT / Lienholder Source List
COMPLEX COMMUNITY FCU,COMPLEX COMMUNITY FCU,2201 S GRANDVIEW AVE,ODESSA,TX,79766,751087169,1,246607613,,,,,,,,,Florida ELT / Lienholder Source List
"COMPUTER AUTO SALE, CO.",COMPUTER AUTO SALE,3777 NW 36 ST,MIAMI,FL,33142,650774782,2,233736253,,,,,,,,,Florida ELT / Lienholder Source List
"COMPUTERSHARE TRUST COMPANY, N. A",COMPUTERSHARE TRUST N A,1505 ENERGY PARK DR,SAINT PAUL,MN,55108,43401714,2,629545371,,,,,,,,,Florida ELT / Lienholder Source List
COMTRUST FEDERAL CREDIT UNION,COMTRUST FEDERAL CREDIT UNION,1020 RIVERFRONT PKWY,CHATTANOOGA,TN,37402,620459289,1,217350969,,,,,,,,,Florida ELT / Lienholder Source List
CONCEPT AUTO INC.,CONCEPT AUTO,3700 NW 27TH AVE,MIAMI,FL,33142,650590244,3,235535235,,,,,,,,,Florida ELT / Lienholder Source List
CONCEPT CAR AUTO SALES LLC,CONCEPT CAR AUTO SALES,5561 S ORANGE BLOSSOM TRL,ORLANDO,FL,32839,844066599,2,264157709,,,,,,,,,Florida ELT / Lienholder Source List
CONCEPT COLOSSAL LLC,CONCEPT COLOSSAL,16130 NW 17TH CT,OPA LOCKA,FL,33054,815032242,2,258987127,,,,,,,,,Florida ELT / Lienholder Source List
CONCORDIA FINANCING CO. LTD,CONCORDIA FINANCING,PO BOX 429,RANCHO CUCAMONGA,CA,91729,330615932,1,235308939,,,,,,,,,Florida ELT / Lienholder Source List
CONCRETE HOLDINGS & SERVICES DBA C&C CONCRETE PUMPING,CONCRETE HOLDINGS SERVICES DBA C C CONCRETE PUMPING,12599 NW 107TH AVE,MEDLEY,FL,33178,271582804,1,256105627,,,,,,,,,Florida ELT / Lienholder Source List
CONDOR CAPITAL CORP,CONDOR CAPITAL,165 OSER AVE,HAUPPAUGE,NY,11788,113235196,1,202674466,,,,,,,,,Florida ELT / Lienholder Source List
CONDU AUTO SALES LLC,CONDU AUTO SALES,14645 MAGNOLIA RIDGE LOOP,WINTER GARDEN,FL,34787,933813295,1,624465707,,,,,,,,,Florida ELT / Lienholder Source List
CONE CREDIT UNION,CONE CREDIT UNION,219 W CECIL ST,NEENAH,WI,54956,391137123,1,239350661,,,,,,,,,Florida ELT / Lienholder Source List
CONERSTONE FEDERAL CREDIT UNION,CONERSTONE FEDERAL CREDIT UNION,PO BOX 1181,CARLISLE,PA,17013,231948719,1,215848954,,,,,,,,,Florida ELT / Lienholder Source List
CONEXION AUTO SALES INC,CONEXION AUTO SALES,5011 W HILLSBOROUGH AVE STE P,TAMPA,FL,33634,262262129,2,233649905,,,,,,,,,Florida ELT / Lienholder Source List
CONGRESSIONAL BANK,CONGRESSIONAL BANK,6107 DEMOCRACY BLVD STE 400,BETHESDA,MD,20817,432022906,1,255048913,,,,,,,,,Florida ELT / Lienholder Source List
CONNECT CREDIT UNION,CONNECT CREDIT UNION,3400 W COMMERCIAL BLVD,FT LAUD,FL,33309,596139444,1,201816668,,,,,,,,,Florida ELT / Lienholder Source List
"CONNECT ONE FINANCIAL, LLC.",CONNECT ONE FINANCIAL,5830 SW 73RD ST,SOUTH MIAMI,FL,33143,472337069,1,243424219,,,,,,,,,Florida ELT / Lienholder Source List
CONNECTED CREDIT UNION,CONNECTED CREDIT UNION,PO BOX 1096,AGUSTA,ME,4332,10409063,1,214225579,,,,,,,,,Florida ELT / Lienholder Source List
CONNECTION BANK,CONNECTION BANK,115 LEGACY DR,BURLINGTON,IA,52601,420258320,2,626629907,,,,,,,,,Florida ELT / Lienholder Source List
CONNECTION MOTORS TAMPA,CONNECTION MOTORS TAMPA,13518 N FLORIDA AVE,TAMPA,FL,33613,472751930,2,244214149,,,,,,,,,Florida ELT / Lienholder Source List
CONNECTIONS ELEVATOR LLC,CONNECTIONS ELEVATOR,2645 EXECUTIVE PARK DR # 611,WESTON,FL,33331,900727848,8,621517679,,,,,,,,,Florida ELT / Lienholder Source List
CONNECTONE BANK,CONNECTONE BANK,2455 MORRIS AVE,UNION,NJ,7083,201172127,1,623114501,,,,,,,,,Florida ELT / Lienholder Source List
CONNECTS FEDERAL CREDIT UNION,CONNECTS FEDERAL CREDIT UNION,7700 SHRADER RD,RICHMOND,VA,23228,540542719,1,260948839,,,,,,,,,Florida ELT / Lienholder Source List
"CONNERS FINANCIAL, LLC",CONNERS FINANCIAL,14408 DULCIMER CT,ORLANDO,FL,32837,861783514,2,609985559,,,,,,,,,Florida ELT / Lienholder Source List
CONNEX CREDIT UNION,CONNEX CREDIT UNION,PO BOX 22110,LEHIGH VALLEY,PA,18002,60655052,3,235340293,,,,,,,,,Florida ELT / Lienholder Source List
CONNEXUS CREDIT UNION,CONNEXUS CREDIT UNION,PO BOX 985,WILMINGTON,OH,45177,390263945,2,215207164,,,,,,,,,Florida ELT / Lienholder Source List
CONOVERS REPO DEPOT INC,CONOVERS REPO DEPOT,4165 VANCOUVER AVE,COCOA,FL,32926,273363435,2,233349613,,,,,,,,,Florida ELT / Lienholder Source List
"CONRAD AUTO SALES, INC",CONRAD AUTO SALES,4200 STATE RD 60 W,MULBERRY,FL,33860,202498359,3,233459399,,,,,,,,,Florida ELT / Lienholder Source List
"CONSERV BECM, LLC",CONSERV BECM,PO BOX 92286,NASHVILLE,TN,37209,831352789,1,261061207,,,,,,,,,Florida ELT / Lienholder Source List
"CONSERV LENDING, LLC",CONSERV LENDING,PO BOX 92286,NASHVILLE,TN,37209,320474135,1,254441297,,,,,,,,,Florida ELT / Lienholder Source List
CONSERVATION EMPLOYEES CREDIT UNION,CONSERVATION EMPLOYEES CREDIT UNION,PO BOX 180,JEFFERSON CITY,MO,65102,440595869,2,232470035,,,,,,,,,Florida ELT / Lienholder Source List
CONSIGNMENTS USA INC,CONSIGNMENTS USA,644 N SUNCOAST BLVD,CRYSTAL RIVER,FL,34429,223865298,1,232579999,,,,,,,,,Florida ELT / Lienholder Source List
CONSOLIDATED FEDERAL CREDIT UNION,CONSOLIDATED FEDERAL CREDIT UNION,2021 NORTH EAST SANDY BLVD,PORTLAND,OR,97232,930460086,1,201161294,,,,,,,,,Florida ELT / Lienholder Source List
CONSTANT SMART ACTIONS LLC,CONSTANT SMART ACTIONS,2704 SW MAIN BLVD,LAKE CITY,FL,32025,874714073,3,626595407,,,,,,,,,Florida ELT / Lienholder Source List
CONSTELLATION FEDERAL CREDIT UNION,CONSTELLATION FEDERAL CREDIT UNION,1810 SAMUEL MORSE DR,RESTON,VA,20190,530192111,0,226561329,,,,,,,,,Florida ELT / Lienholder Source List
CONSTRUCTION SERVICES OF BRWD INC,CONSTRUCTION SERVICES OF BRWD,87 NE 7TH AVE,DEERFIELD BEACH,FL,33441,,,216995964,,,,,,,,,Florida ELT / Lienholder Source List
CONSULTING MOTORS LLC,CONSULTING MOTORS,2596 N ORANGE BLOSSOM TRL,KISSIMMEE,FL,34744,922298758,2,623767313,,,,,,,,,Florida ELT / Lienholder Source List
CONSUMER 1ST FEDERAL CREDIT UNION,CONSUMER 1ST FEDERAL CREDIT UNION,1000 CLIFF MINE RD STE 140,PITTSBURGH,PA,15275,251393602,1,255649699,,,,,,,,,Florida ELT / Lienholder Source List
CONSUMER AUTO CREDIT INC,CONSUMER AUTO CREDIT,6706 N FLORIDA AVE,TAMPA,FL,33604,412222710,0,233760169,,,,,,,,,Florida ELT / Lienholder Source List
"CONSUMER AUTO FINANCIAL, INC. D/B/A FAMILY AUTO SALES",CONSUMER AUTO FINANCIAL D B A FAMILY AUTO SALES,1358 US ALT 19 N,HOLIDAY,FL,34691,47357729,1,242789113,,,,,,,,,Florida ELT / Lienholder Source List
CONSUMER CREDIT ACCEPTANCE CO,CONSUMER CREDIT ACCEPTANCE,14638 US HIGHWAY 19 S,THOMASVILLE,GA,31757,113651146,1,239922939,,,,,,,,,Florida ELT / Lienholder Source List
CONSUMER CREDIT AID,CONSUMER CREDIT AID,PO BOX 1274,ELFERS,FL,34680,261343660,1,223229031,,,,,,,,,Florida ELT / Lienholder Source List
CONSUMER CREDIT UNION,CONSUMER CREDIT UNION,3634 E ANDREW JOHNSON HWY,GREENEVILLE,TN,37745,621343751,2,252677657,,,,,,,,,Florida ELT / Lienholder Source List
CONSUMER FINANCIAL SERVICES OF FORT WALTON BEACH LLC,CONSUMER FINANCIAL SERVICES OF FORT WALTON BEACH,550 MARY ESTHER CUT OFF NW UNIT 3,FT WALTON BCH,FL,32548,364291338,10,233539655,,,,,,,,,Florida ELT / Lienholder Source List
CONSUMER FINANCIAL SERVICES OF PENSACOLA,CONSUMER FINANCIAL SERVICES OF PENSACOLA,6219 N PALAFOX ST STE G,PENSACOLA,FL,32503,364192363,7,233726727,,,,,,,,,Florida ELT / Lienholder Source List
CONSUMER FINANCIAL SERVICES OF TPA FL LLC,CONSUMER FINANCIAL SERVICES OF TPA FL,10431 US HIGHWAY 19,PORT RICHEY,FL,34668,364276678,3,205853738,,,,,,,,,Florida ELT / Lienholder Source List
CONSUMER PORTFOLIO SERVICES INC.,CONSUMER PORTFOLIO SERVICES,PO BOX 57071,IRVINE,CA,92619,330459135,1,96429667,,,,,,,,,Florida ELT / Lienholder Source List
CONSUMER PROFESSIONAL CREDIT UNION,CONSUMER PROFESSIONAL CREDIT UNION,525 WEST WILLOW,LANSING,MI,48906,381446160,1,215275464,,,,,,,,,Florida ELT / Lienholder Source List
CONSUMERS CREDIT UNION,CONSUMERS CREDIT UNION,PO BOX 279342,SACRAMENTO,CA,95827,361936022,2,234947475,,,,,,,,,Florida ELT / Lienholder Source List
CONSUMERS CREDIT UNION,CONSUMERS CREDIT UNION,PO BOX 525,OSHTEMO,MI,49077,381438667,3,242801153,,,,,,,,,Florida ELT / Lienholder Source List
CONSUMERS FEDERAL CREDIT UNION,CONSUMERS FEDERAL CREDIT UNION,425 NEPTUNE AVE,BROOKLYN,NY,11224,112129821,1,603400183,,,,,,,,,Florida ELT / Lienholder Source List
CONTAINER MUTUAL CREDIT UNION,CONTAINER MUTUAL CREDIT UNION,NORTH 8 STREET,FERNANDINA BCH,FL,32034,596131478,1,200025977,,,,,,,,,Florida ELT / Lienholder Source List
"CONTE MANUFACTURED HOMES, LLC",CONTE MANUFACTURED HOMES,PO BOX 34,WIMAUMA,FL,33598,844293903,1,627412563,,,,,,,,,Florida ELT / Lienholder Source List
CONTI FORD LEASING,CONTI FORD LEASING,RR 72 PO BOX 547,MANAHAWKIN,NJ,8050,221923619,1,234560139,,,,,,,,,Florida ELT / Lienholder Source List
CONTINENTAL AUTO GROUP,CONTINENTAL AUTO GROUP,2421 SAINT JOHNS BLUFF RD S,JACKSONVILLE,FL,32246,462722380,2,243033463,,,,,,,,,Florida ELT / Lienholder Source List
CONTINENTAL AUTO SALES,CONTINENTAL AUTO SALES,10512 LAND O LAKES BLVD,LAND O LAKES,FL,33468,591930194,3,233645095,,,,,,,,,Florida ELT / Lienholder Source List
CONTINENTAL BANK,CONTINENTAL BANK,15 W SOUTH TEMPLE STE 300,SALT LAKE CITY,UT,84101,582671040,1,218159139,,,,,,,,,Florida ELT / Lienholder Source List
CONTINENTAL MOTOR GROUP INC,CONTINENTAL MOTOR GROUP,PO BOX 3198,STUART,FL,34995,202457741,2,602539433,,,,,,,,,Florida ELT / Lienholder Source List
"CONTINENTAL MOTOR GROUP, INC",CONTINENTAL MOTOR GROUP,885 SE MONTERY RD,STUART,FL,34994,202457741,1,233713205,,,,,,,,,Florida ELT / Lienholder Source List
CONTINENTAL NATIONAL BANK,CONTINENTAL NATIONAL BANK,1801 SW 1ST ST,MIAMI,FL,33135,591521267,1,202254136,,,,,,,,,Florida ELT / Lienholder Source List
CONTINENTAL PAVING INC.,CONTINENTAL PAVING,1 CONTINENTAL DR,LONDONDERRY,NH,3053,2351459,1,253848641,,,,,,,,,Florida ELT / Lienholder Source List
CONTRERAS AUTO SALES INC,CONTRERAS AUTO SALES,20133 US HIGHWAY 301,DADE CITY,FL,33523,812246754,2,250048681,,,,,,,,,Florida ELT / Lienholder Source List
CONWAY CARZ INC,CONWAY CARZ,3804 B N US HWY 1,COCOA,FL,32926,272899738,2,234108403,,,,,,,,,Florida ELT / Lienholder Source List
CONWAY TECHNOLOGIES LLC DBA LANDTRIKE,CONWAY TECHNOLOGIES DBA LANDTRIKE,4420 W CULBREATH AVE,TAMPA,FL,33609,822198296,1,252198623,,,,,,,,,Florida ELT / Lienholder Source List
COOL RUNNINGS AUTO SALES INC.,COOL RUNNINGS AUTO SALES,7580 NW 5TH ST # 17285,PLANTATION,FL,33317,460538989,3,600280439,,,,,,,,,Florida ELT / Lienholder Source List
"COOL WHIPS AUTO SALES, LLC.",COOL WHIPS AUTO SALES,2531 NW 173RD TER,MIAMI GARDENS,FL,33056,812450013,2,247150853,,,,,,,,,Florida ELT / Lienholder Source List
"COOL WHIPS AUTOMOTIVE, LLC",COOL WHIPS AUTOMOTIVE,10549 NEW KINGS RD,JACKSONVILLE,FL,32219,463396944,2,236480427,,,,,,,,,Florida ELT / Lienholder Source List
"COOP FIRST, LLC.",COOP FIRST,2232 STRATFORD AVE,CINCINNATI,OH,45219,311739800,1,244408027,,,,,,,,,Florida ELT / Lienholder Source List
COOPERATIVE CHOICE NETWORK CU,COOPERATIVE CHOICE NETWORK CU,3919 N UNIVERSITY ST,PEORIA,IL,61614,370216685,2,236792051,,,,,,,,,Florida ELT / Lienholder Source List
COOSA PINES FEDERAL CREDIT UNION,COOSA PINES FEDERAL CREDIT UNION,33710 US HWY 280,CHILDERSBURG,AL,35044,630288902,2,233357267,,,,,,,,,Florida ELT / Lienholder Source List
COOSA VALLEY FEDERAL CREDIT UNION,COOSA VALLEY FEDERAL CREDIT UNION,2010 REDMOND CIR,ROME,GA,30165,580664019,1,232737083,,,,,,,,,Florida ELT / Lienholder Source List
COPOCO COMMUNITY CREDIT UNION,COPOCO COMMUNITY CREDIT UNION,PO BOX 1520,BAY CITY,MI,48706,381435020,3,236880291,,,,,,,,,Florida ELT / Lienholder Source List
